                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.2285,                0.64014,                 1.1332,                 0.8614,                0.83075,                 0.8725,                0.50491,                 1.5809,                0.68916,                 1.5102,              0.0003763,              0.0003763,              0.0003763
                     65,                  1.221,                0.62273,                 1.1553,                0.87636,                0.84158,                0.87587,                0.49878,                 1.5998,                0.69933,                 1.5105,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.2693,                0.66638,                 1.1595,                0.87065,                0.87624,                0.89348,                0.48387,                 1.5702,                0.70635,                  1.501,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.2943,                0.65021,                 1.1882,                0.85361,                0.86603,                0.89449,                0.49883,                 1.5198,                0.68982,                 1.4817,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.3179,                0.64328,                 1.1702,                0.86382,                0.84653,                0.88165,                0.49154,                 1.6136,                0.69135,                 1.5304,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.2643,                 0.6393,                 1.1475,                0.85947,                0.88119,                0.88228,                0.49044,                 1.5758,                0.66844,                 1.5239,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.2382,                0.62179,                 1.1523,                0.88448,                0.84158,                 0.8931,                0.48944,                 1.6386,                0.64579,                 1.5363,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.2032,                0.59521,                 1.1321,                0.90629,                0.84653,                0.90073,                0.49756,                 1.5905,                0.64175,                 1.5475,               0.000307,               0.000307,               0.000307
                     72,                 1.2373,                0.60072,                 1.1388,                0.88711,                0.88119,                0.90442,                0.50526,                 1.5995,                 0.6522,                 1.5421,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.1711,                 0.5825,                 1.1595,                0.85639,                0.85644,                0.88565,                0.50674,                  1.564,                 0.6583,                 1.5332,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.1771,                0.59398,                 1.1408,                 0.8665,                0.85149,                0.90442,                0.49986,                  1.592,                0.66395,                 1.5301,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.2148,                0.59556,                 1.1479,                 0.8374,                0.89237,                0.89434,                0.49847,                 1.5921,                0.68759,                 1.5104,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.1704,                0.56891,                 1.1053,                0.87684,                0.88114,                0.89122,                0.50983,                 1.5755,                0.67614,                 1.5056,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.1695,                0.56433,                 1.1297,                0.87837,                 0.8938,                  0.901,                0.49858,                 1.6025,                0.67924,                 1.5195,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.1707,                0.56915,                 1.1094,                0.92943,                0.84653,                0.90695,                0.50379,                 1.5828,                0.64752,                 1.4856,              0.0002377,              0.0002377,              0.0002377
                     79,                  1.167,                0.57115,                  1.123,                0.93378,                0.79703,                0.90101,                0.50914,                 1.5171,                 0.6546,                 1.4786,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.1779,                0.56893,                  1.129,                0.92236,                0.82178,                0.90041,                0.50318,                 1.5657,                0.67369,                  1.512,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.1386,                0.56755,                 1.0983,                0.86056,                0.88598,                0.90197,                0.50901,                 1.5344,                0.66406,                 1.5054,               0.000208,               0.000208,               0.000208
                     82,                 1.1262,                0.54592,                 1.1104,                0.86064,                0.85602,                0.89762,                0.50923,                 1.5357,                0.67463,                 1.4866,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.1542,                0.55077,                   1.13,                0.91824,                0.80198,                0.88763,                0.50445,                 1.5671,                0.66934,                 1.4976,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.1059,                0.53355,                 1.0938,                0.86796,                0.87864,                0.90325,                0.51741,                 1.5712,                0.65058,                 1.5174,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.1346,                 0.5692,                 1.0981,                0.87777,                0.82178,                0.88819,                0.50892,                 1.5859,                0.67454,                 1.5336,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.1395,                0.54648,                 1.0843,                0.89403,                0.81683,                0.88252,                0.50387,                 1.5851,                 0.6684,                 1.5549,              0.0001585,              0.0001585,              0.0001585
                     87,                  1.125,                0.54018,                 1.1227,                0.89634,                0.85616,                0.90579,                0.51407,                 1.5711,                0.64753,                 1.5286,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.1225,                0.55016,                 1.0929,                0.86364,                0.86634,                 0.9116,                 0.5116,                 1.5816,                0.62856,                  1.527,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.1609,                0.54075,                 1.1053,                 0.8694,                0.88978,                0.91314,                0.50678,                 1.5806,                0.62857,                 1.5177,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.1345,                0.54582,                 1.0859,                0.86937,                0.85659,                0.90815,                0.50969,                 1.5783,                0.63191,                 1.5185,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.0965,                0.53522,                 1.0935,                0.85125,                0.87826,                0.90881,                0.50082,                 1.5822,                0.64438,                 1.5229,               0.000109,               0.000109,               0.000109
                     92,                 1.1104,                0.53756,                 1.1101,                0.86256,                0.90096,                0.91549,                0.50948,                 1.5735,                0.62516,                 1.5275,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.0817,                0.50502,                 1.0792,                0.86773,                0.87688,                0.91674,                0.51469,                 1.5678,                0.61795,                 1.5267,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.0933,                0.52948,                 1.0508,                0.92513,                0.85635,                0.91782,                0.51765,                 1.5772,                0.61563,                 1.5276,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.0865,                 0.5005,                 1.0591,                0.92607,                0.86811,                0.91858,                0.51325,                  1.586,                0.62953,                 1.5317,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                  1.068,                0.50479,                 1.0735,                0.91891,                0.87624,                0.92094,                0.51814,                 1.5917,                 0.6247,                 1.5353,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.0574,                0.49942,                   1.06,                0.88177,                0.88614,                0.91908,                0.51379,                 1.5917,                0.61519,                 1.5402,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 1.0939,                0.52401,                 1.0725,                0.88396,                0.90594,                0.92115,                0.51538,                 1.5852,                  0.614,                 1.5354,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.1073,                0.51068,                 1.0706,                0.87888,                0.89808,                 0.9221,                0.51502,                 1.5832,                0.61202,                  1.528,               2.98e-05,               2.98e-05,               2.98e-05
